Stock_Name,Yahoo_Symbol
Coromandel International Ltd.,COROMANDEL.NS
Craftsman Automation Ltd.,CRAFTSMAN.NS
CreditAccess Grameen Ltd.,CREDITACC.NS
Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS
Cummins India Ltd.,CUMMINSIND.NS
Cyient Ltd.,CYIENT.NS
DCM Shriram Ltd.,DCMSHRIRAM.NS
DLF Ltd.,DLF.NS
DOMS Industries Ltd.,DOMS.NS
Dabur India Ltd.,DABUR.NS
Dalmia Bharat Ltd.,DALBHARAT.NS
Data Patterns (India) Ltd.,DATAPATTNS.NS
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT.NS
Deepak Nitrite Ltd.,DEEPAKNTR.NS
Delhivery Ltd.,DELHIVERY.NS
Devyani International Ltd.,DEVYANI.NS
Divi's Laboratories Ltd.,DIVISLAB.NS
Dixon Technologies (India) Ltd.,DIXON.NS
Dr. Lal Path Labs Ltd.,LALPATHLAB.NS
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS
E.I.D. Parry (India) Ltd.,EIDPARRY.NS
EIH Ltd.,EIHOTEL.NS
Eicher Motors Ltd.,EICHERMOT.NS
Elecon Engineering Co. Ltd.,ELECON.NS
Elgi Equipments Ltd.,ELGIEQUIP.NS
Emami Ltd.,EMAMILTD.NS
Emcure Pharmaceuticals Ltd.,EMCURE.NS
Emmvee Photovoltaic Power Ltd.,EMMVEE.NS
Endurance Technologies Ltd.,ENDURANCE.NS
Engineers India Ltd.,ENGINERSIN.NS
Eris Lifesciences Ltd.,ERIS.NS
Escorts Kubota Ltd.,ESCORTS.NS
Eternal Ltd.,ETERNAL.NS
Exide Industries Ltd.,EXIDEIND.NS
FSN E-Commerce Ventures Ltd.,NYKAA.NS
Federal Bank Ltd.,FEDERALBNK.NS
Fertilisers and Chemicals Travancore Ltd.,FACT.NS
Finolex Cables Ltd.,FINCABLES.NS
Firstsource Solutions Ltd.,FSL.NS
